DESA,PROVINSI,KAB_KOTA,KECAMATAN,WILAYAH
PACARKEMBANG,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
ALUN-ALUN CONTONG,JAWA TIMUR,SURABAYA,BUBUTAN,SURABAYA PUSAT
BUBUTAN,JAWA TIMUR,SURABAYA,BUBUTAN,SURABAYA PUSAT
JEPARA,JAWA TIMUR,SURABAYA,BUBUTAN,SURABAYA PUSAT
TANDES,JAWA TIMUR,SURABAYA,TANDES,SURABAYA BARAT
SEMEMI,JAWA TIMUR,SURABAYA,BENOWO,SURABAYA BARAT
TAMBAK SARIOSO,JAWA TIMUR,SURABAYA,ASEM ROWO,SURABAYA BARAT
BULAK,JAWA TIMUR,SURABAYA,BULAK,SURABAYA UTARA
KETABANG,JAWA TIMUR,SURABAYA,GENTENG,SURABAYA PUSAT
KARANGPILANG,JAWA TIMUR,SURABAYA,KARANGPILANG,SURABAYA SELATAN
SIDOSERMO,JAWA TIMUR,SURABAYA,WONOCOLO,SURABAYA SELATAN
KALIRUNGKUT,JAWA TIMUR,SURABAYA,RUNGKUT,SURABAYA TIMUR
NGAGEL,JAWA TIMUR,SURABAYA,WONOKROMO,SURABAYA SELATAN
RUNGKUT KIDUL,JAWA TIMUR,SURABAYA,RUNGKUT,SURABAYA TIMUR
KEDUNG BARUK,JAWA TIMUR,SURABAYA,RUNGKUT,SURABAYA TIMUR
WONOREJO,JAWA TIMUR,SURABAYA,RUNGKUT,SURABAYA TIMUR
MEDOKAN AYU,JAWA TIMUR,SURABAYA,RUNGKUT,SURABAYA TIMUR
WONOKROMO,JAWA TIMUR,SURABAYA,WONOKROMO,SURABAYA SELATAN
SAWUNGGALING,JAWA TIMUR,SURABAYA,WONOKROMO,SURABAYA SELATAN
WONOREJO,JAWA TIMUR,SURABAYA,TEGALSARI,SURABAYA PUSAT
SAWAHAN,JAWA TIMUR,SURABAYA,SAWAHAN,SURABAYA SELATAN
TEGALSARI,JAWA TIMUR,SURABAYA,TEGALSARI,SURABAYA PUSAT
BANYUURIP,JAWA TIMUR,SURABAYA,SAWAHAN,SURABAYA SELATAN
GENTENG,JAWA TIMUR,SURABAYA,GENTENG,SURABAYA PUSAT
DR. SOETOMO,JAWA TIMUR,SURABAYA,TEGALSARI,SURABAYA PUSAT
KEDUNGDORO,JAWA TIMUR,SURABAYA,TEGALSARI,SURABAYA PUSAT
AIRLANGGA,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
BARATAJAYA,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
GEBANG PUTIH,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
GADING,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
MENUR PUMPUNGAN,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
NGINDEN JANGKUNGAN,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
SEMOLOWARU,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
RANGKAH,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
SIDODADI,JAWA TIMUR,SURABAYA,SIMOKERTO,SURABAYA PUSAT
BONGKARAN,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN,SURABAYA UTARA
KREMBANGAN UTARA,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN,SURABAYA UTARA
MANUKAN KULON,JAWA TIMUR,SURABAYA,TANDES,SURABAYA BARAT
KREMBANGAN SELATAN,JAWA TIMUR,SURABAYA,KREMBANGAN,SURABAYA UTARA
PERAK BARAT,JAWA TIMUR,SURABAYA,KREMBANGAN,SURABAYA UTARA
MOROKREMBANGAN,JAWA TIMUR,SURABAYA,KREMBANGAN,SURABAYA UTARA
AMPEL,JAWA TIMUR,SURABAYA,SEMAMPIR,SURABAYA UTARA
PEGIRIKAN,JAWA TIMUR,SURABAYA,SEMAMPIR,SURABAYA UTARA
SIDOTOPO,JAWA TIMUR,SURABAYA,SEMAMPIR,SURABAYA UTARA
SIDOTOPO WETAN,JAWA TIMUR,SURABAYA,KENJERAN,SURABAYA UTARA
TAMBAK WEDI,JAWA TIMUR,SURABAYA,KENJERAN,SURABAYA UTARA
BANGKINGAN,JAWA TIMUR,SURABAYA,LAKARSANTRI,SURABAYA BARAT
LIDAH KULON,JAWA TIMUR,SURABAYA,LAKARSANTRI,SURABAYA BARAT
SUMUR WELUT,JAWA TIMUR,SURABAYA,LAKARSANTRI,SURABAYA BARAT
KANDANGAN,JAWA TIMUR,SURABAYA,BENOWO,SURABAYA BARAT
TAMBAK OSOWILANGUN,JAWA TIMUR,SURABAYA,BENOWO,SURABAYA BARAT
ROMOKALISARI,JAWA TIMUR,SURABAYA,BENOWO,SURABAYA BARAT
WIYUNG,JAWA TIMUR,SURABAYA,WIYUNG,SURABAYA SELATAN
GUNUNG SARI,JAWA TIMUR,SURABAYA,DUKUHPAKIS,SURABAYA SELATAN
GAYUNGAN,JAWA TIMUR,SURABAYA,GAYUNGAN,SURABAYA SELATAN
JAMBANGAN,JAWA TIMUR,SURABAYA,JAMBANGAN,SURABAYA SELATAN
KARAH,JAWA TIMUR,SURABAYA,JAMBANGAN,SURABAYA SELATAN
KEBONSARI,JAWA TIMUR,SURABAYA,JAMBANGAN,SURABAYA SELATAN
KENDANGSARI,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO,SURABAYA TIMUR
KALIJUDAN,JAWA TIMUR,SURABAYA,MULYOREJO,SURABAYA TIMUR
RUNGKUT TENGAH,JAWA TIMUR,SURABAYA,GUNUNG ANYAR,SURABAYA TIMUR
MANYAR SABRANGAN,JAWA TIMUR,SURABAYA,MULYOREJO,SURABAYA TIMUR
KALISARI,JAWA TIMUR,SURABAYA,MULYOREJO,SURABAYA TIMUR
DUKUH SUTOREJO,JAWA TIMUR,SURABAYA,MULYOREJO,SURABAYA TIMUR
ASEM ROWO,JAWA TIMUR,SURABAYA,ASEM ROWO,SURABAYA BARAT
GENTING KALIANAK,JAWA TIMUR,SURABAYA,ASEM ROWO,SURABAYA BARAT
PAKAL,JAWA TIMUR,SURABAYA,PAKAL,SURABAYA BARAT
SUMBER REJO,JAWA TIMUR,SURABAYA,PAKAL,SURABAYA BARAT
BENOWO,JAWA TIMUR,SURABAYA,PAKAL,SURABAYA BARAT
GUNDIH,JAWA TIMUR,SURABAYA,BUBUTAN,SURABAYA PUSAT
TEMBOK DUKUH,JAWA TIMUR,SURABAYA,BUBUTAN,SURABAYA PUSAT
PENELEH,JAWA TIMUR,SURABAYA,GENTENG,SURABAYA PUSAT
KARANG POH,JAWA TIMUR,SURABAYA,TANDES,SURABAYA BARAT
TAMBAKSARI,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
KEDUNG COWEK,JAWA TIMUR,SURABAYA,BULAK,SURABAYA UTARA
PLOSO,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
KENJERAN,JAWA TIMUR,SURABAYA,BULAK,SURABAYA UTARA
KAPASARI,JAWA TIMUR,SURABAYA,GENTENG,SURABAYA PUSAT
KEBRAON,JAWA TIMUR,SURABAYA,KARANGPILANG,SURABAYA SELATAN
KEDURUS,JAWA TIMUR,SURABAYA,KARANGPILANG,SURABAYA SELATAN
WARUGUNUNG,JAWA TIMUR,SURABAYA,KARANGPILANG,SURABAYA SELATAN
SUKOLILO BARU,JAWA TIMUR,SURABAYA,BULAK,SURABAYA UTARA
BENDUL MERISI,JAWA TIMUR,SURABAYA,WONOCOLO,SURABAYA SELATAN
MARGOREJO,JAWA TIMUR,SURABAYA,WONOCOLO,SURABAYA SELATAN
JAGIR,JAWA TIMUR,SURABAYA,WONOKROMO,SURABAYA SELATAN
JEMUR WONOSARI,JAWA TIMUR,SURABAYA,WONOCOLO,SURABAYA SELATAN
SIWALANKERTO,JAWA TIMUR,SURABAYA,WONOCOLO,SURABAYA SELATAN
PENJARINGANSARI,JAWA TIMUR,SURABAYA,RUNGKUT,SURABAYA TIMUR
LONTAR,JAWA TIMUR,SURABAYA,SAMBIKEREP,SURABAYA BARAT
NGAGEL REJO,JAWA TIMUR,SURABAYA,WONOKROMO,SURABAYA SELATAN
DARMO,JAWA TIMUR,SURABAYA,WONOKROMO,SURABAYA SELATAN
PETEMON,JAWA TIMUR,SURABAYA,SAWAHAN,SURABAYA SELATAN
PUTATJAYA,JAWA TIMUR,SURABAYA,SAWAHAN,SURABAYA SELATAN
KUPANG KRAJAN,JAWA TIMUR,SURABAYA,SAWAHAN,SURABAYA SELATAN
PAKIS,JAWA TIMUR,SURABAYA,SAWAHAN,SURABAYA SELATAN
EMBONG KALIASIN,JAWA TIMUR,SURABAYA,GENTENG,SURABAYA PUSAT
KEPUTRAN,JAWA TIMUR,SURABAYA,TEGALSARI,SURABAYA PUSAT
GUBENG,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
MOJO,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
KERTAJAYA,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
PUCANGSEWU,JAWA TIMUR,SURABAYA,GUBENG,SURABAYA TIMUR
KEPUTIH,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
KLAMPIS NGASEM,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
MEDOKAN SEMAMPIR,JAWA TIMUR,SURABAYA,SUKOLILO,SURABAYA TIMUR
PACAR KELING,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
KAPASMADYA BARU,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
DUKUH SETRO,JAWA TIMUR,SURABAYA,TAMBAKSARI,SURABAYA TIMUR
SIMOKERTO,JAWA TIMUR,SURABAYA,SIMOKERTO,SURABAYA PUSAT
KAPASAN,JAWA TIMUR,SURABAYA,SIMOKERTO,SURABAYA PUSAT
SIMOLAWANG,JAWA TIMUR,SURABAYA,SIMOKERTO,SURABAYA PUSAT
TAMBAKREJO,JAWA TIMUR,SURABAYA,SIMOKERTO,SURABAYA PUSAT
NYAMPLUNGAN,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN,SURABAYA UTARA
PERAK TIMUR,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN,SURABAYA UTARA
PERAK UTARA,JAWA TIMUR,SURABAYA,PABEAN CANTIKAN,SURABAYA UTARA
BALONGSARI,JAWA TIMUR,SURABAYA,TANDES,SURABAYA BARAT
MANUKAN WETAN,JAWA TIMUR,SURABAYA,TANDES,SURABAYA BARAT
BANJAR SUGIHAN,JAWA TIMUR,SURABAYA,TANDES,SURABAYA BARAT
KEMAYORAN,JAWA TIMUR,SURABAYA,KREMBANGAN,SURABAYA UTARA
DUPAK,JAWA TIMUR,SURABAYA,KREMBANGAN,SURABAYA UTARA
WONOKUSUMO,JAWA TIMUR,SURABAYA,SEMAMPIR,SURABAYA UTARA
UJUNG,JAWA TIMUR,SURABAYA,SEMAMPIR,SURABAYA UTARA
TANAH KALIKEDINDING,JAWA TIMUR,SURABAYA,KENJERAN,SURABAYA UTARA
BULAK BANTENG,JAWA TIMUR,SURABAYA,KENJERAN,SURABAYA UTARA
JERUK,JAWA TIMUR,SURABAYA,LAKARSANTRI,SURABAYA BARAT
LAKARSANTRI,JAWA TIMUR,SURABAYA,LAKARSANTRI,SURABAYA BARAT
LIDAH WETAN,JAWA TIMUR,SURABAYA,LAKARSANTRI,SURABAYA BARAT
JAJAR TUNGGAL,JAWA TIMUR,SURABAYA,WIYUNG,SURABAYA SELATAN
BABATAN,JAWA TIMUR,SURABAYA,WIYUNG,SURABAYA SELATAN
BALAS KLUMPRIK,JAWA TIMUR,SURABAYA,WIYUNG,SURABAYA SELATAN
DUKUH PAKIS,JAWA TIMUR,SURABAYA,DUKUHPAKIS,SURABAYA SELATAN
DUKUH KUPANG,JAWA TIMUR,SURABAYA,DUKUHPAKIS,SURABAYA SELATAN
PRADAKALIKENDAL,JAWA TIMUR,SURABAYA,DUKUHPAKIS,SURABAYA SELATAN
MENANGGAL,JAWA TIMUR,SURABAYA,GAYUNGAN,SURABAYA SELATAN
DUKUH MENANGGAL,JAWA TIMUR,SURABAYA,GAYUNGAN,SURABAYA SELATAN
KETINTANG,JAWA TIMUR,SURABAYA,GAYUNGAN,SURABAYA SELATAN
PAGESANGAN,JAWA TIMUR,SURABAYA,JAMBANGAN,SURABAYA SELATAN
KUTISARI,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO,SURABAYA TIMUR
TENGILIS MEJOYO,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO,SURABAYA TIMUR
PANJANG JIWO,JAWA TIMUR,SURABAYA,TENGGILIS MEJOYO,SURABAYA TIMUR
GUNUNG ANYAR,JAWA TIMUR,SURABAYA,GUNUNG ANYAR,SURABAYA TIMUR
RUNGKUT MENANGGAL,JAWA TIMUR,SURABAYA,GUNUNG ANYAR,SURABAYA TIMUR
GUNUNG ANYAR TAMBAK,JAWA TIMUR,SURABAYA,GUNUNG ANYAR,SURABAYA TIMUR
MULYOREJO,JAWA TIMUR,SURABAYA,MULYOREJO,SURABAYA TIMUR
KEJAWAAN PUTIH TAMBA,JAWA TIMUR,SURABAYA,MULYOREJO,SURABAYA TIMUR
SUKOMANUNGGAL,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
TANJUNGSARI,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
SONOKWIJENAN,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
PUTAT GEDE,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
SIMOMULYO,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
SIMOMULYO BARU,JAWA TIMUR,SURABAYA,SUKOMANUNGGAL,SURABAYA BARAT
BABAT JERAWAT,JAWA TIMUR,SURABAYA,PAKAL,SURABAYA BARAT
SAMBIKEREP,JAWA TIMUR,SURABAYA,SAMBIKEREP,SURABAYA BARAT
MADE,JAWA TIMUR,SURABAYA,SAMBIKEREP,SURABAYA BARAT
BRINGIN,JAWA TIMUR,SURABAYA,SAMBIKEREP,SURABAYA BARAT
