WILAYAH,KECAMATAN
SURABAYA PUSAT,TEGALSARI
SURABAYA PUSAT,SIMOKERTO
SURABAYA PUSAT,GENTENG
SURABAYA PUSAT,BUBUTAN
SURABAYA TIMUR,GUBENG
SURABAYA TIMUR,GUNUNG ANYAR
SURABAYA TIMUR,SUKOLILO
SURABAYA TIMUR,TAMBAKSARI
SURABAYA TIMUR,MULYOREJO
SURABAYA TIMUR,RUNGKUT
SURABAYA TIMUR,TENGGILIS MEJOYO
SURABAYA BARAT,BENOWO
SURABAYA BARAT,PAKAL
SURABAYA BARAT,ASEM ROWO
SURABAYA BARAT,SUKOMANUNGGAL
SURABAYA BARAT,TANDES
SURABAYA BARAT,SAMBIKEREP
SURABAYA BARAT,LAKARSANTRI
SURABAYA UTARA,BULAK
SURABAYA UTARA,KENJERAN
SURABAYA UTARA,SEMAMPIR
SURABAYA UTARA,PABEAN CANTIKAN
SURABAYA UTARA,KREMBANGAN
SURABAYA SELATAN,WONOKROMO
SURABAYA SELATAN,WONOCOLO
SURABAYA SELATAN,WIYUNG
SURABAYA SELATAN,KARANGPILANG
SURABAYA SELATAN,JAMBANGAN
SURABAYA SELATAN,GAYUNGAN
SURABAYA SELATAN,DUKUHPAKIS
SURABAYA SELATAN,SAWAHAN